Algorithm,version no,"Ground Truth (if buggy 1, otherwise 0)","Mountain Car Oracle(if buggy 1, otherwise 0)",Pendulum Human Oracle (),"""And"" Oracle (Mountain Car and Pendulum)","""Or"" Oracle"
A2C,6,1,0,0,0,0
A2C,7,0,0,1,0,1
A2C,12,0,0,1,0,1
A2C,15,0,0,0,0,0
A2C,18,0,1,1,1,1
A2C,20,0,0,1,0,1
A2C,24,1,0,0,0,0
A2C,26,1,0,1,0,1
A2C,27,1,1,0,0,1
A2C,28,1,0,0,0,0
A2C,29,1,0,1,0,1
A2C,31,1,0,1,0,1
A2C,32,0,1,0,0,1
A2C,33,0,0,1,0,1
A2C,35,0,0,0,0,0
A2C,37,0,1,1,1,1
A2C,39,0,0,1,0,1
A2C,40,1,0,0,0,0
A2C,41,1,0,0,0,0
A2C,42,0,0,1,0,1
A2C,44,1,0,1,0,1
A2C,45,1,0,0,0,0
A2C,46,1,1,1,1,1
A2C,47,1,0,0,0,0
A2C,48,1,1,0,0,1
A2C,49,1,1,1,1,1
A2C,50,1,1,0,0,1
A2C,51,0,1,0,0,1
A2C,52,1,1,0,0,1
A2C,54,0,0,0,0,0
A2C,56,0,1,0,0,1
A2C,58,0,0,0,0,0
A2C,60,0,1,1,1,1
A2C,62,0,0,1,0,1
A2C,64,0,0,1,0,1
A2C,66,0,0,1,0,1
A2C,68,0,1,1,1,1
PPO,12,0,1,0,0,1
PPO,16,0,0,0,0,0
PPO,19,0,0,0,0,0
PPO,2,0,0,0,0,0
PPO,22,0,0,0,0,0
PPO,24,0,0,0,0,0
PPO,26,1,0,0,0,0
PPO,27,1,1,0,0,1
PPO,28,1,0,1,0,1
PPO,31,0,1,0,0,1
PPO,33,0,0,1,0,1
PPO,37,0,1,1,1,1
PPO,39,0,1,0,0,1
PPO,42,0,1,1,1,1
PPO,44,1,1,1,1,1
PPO,45,1,1,0,0,1
PPO,46,1,1,0,0,1
PPO,47,1,0,1,0,1
PPO,48,1,1,0,0,1
PPO,49,1,0,1,0,1
PPO,50,1,0,0,0,0
PPO,52,1,1,0,0,1
PPO,53,0,0,0,0,0
PPO,54,1,0,1,0,1
PPO,55,1,0,0,0,0
PPO,56,1,0,0,0,0
PPO,57,1,0,1,0,1
PPO,58,1,1,0,0,1
PPO,59,1,0,0,0,0
PPO,6,1,1,1,1,1
PPO,60,1,0,1,0,1
PPO,61,1,0,0,0,0
PPO,62,1,0,1,0,1
PPO,67,0,1,0,0,1
PPO,69,0,0,0,0,0
PPO,71,0,0,1,0,1
PPO,74,0,1,1,1,1
PPO,76,0,1,1,1,1
PPO,8,0,0,1,0,1
PPO,81,0,1,1,1,1
PPO,85,0,1,1,1,1
PPO,90,0,0,1,0,1
PPO,93,0,1,0,0,1
TD3,53,1,0,0,0,0
TD3,54,0,1,0,0,1
TD3,55,0,1,0,0,1
TD3,56,0,0,0,0,0
TD3,57,0,1,0,0,1
TD3,58,0,0,1,0,1
TD3,59,0,0,0,0,0
TD3,60,0,1,0,0,1
TD3,61,0,0,1,0,1
TD3,62,0,0,0,0,0
TD3,63,1,1,0,0,1
TD3,64,1,0,0,0,0
TD3,65,1,0,1,0,1
TD3,66,1,0,0,0,0
TD3,67,1,0,1,0,1
TD3,68,1,0,1,0,1
TD3,69,1,1,1,1,1
TD3,70,1,0,1,0,1
TD3,71,1,1,1,1,1
TD3,72,1,1,1,1,1
TD3,73,1,0,1,0,1
TD3,74,1,0,1,0,1
TD3,75,1,0,1,0,1
TD3,76,0,0,0,0,0
TD3,77,0,0,0,0,0
TD3,78,0,1,0,0,1
TD3,79,0,0,0,0,0
TD3,80,0,0,0,0,0
